Date,Open,High,Low,Close,Adj Close,Volume
2001-04-27,56.734375,56.734375,50.000000,50.757030,35.709717,36926080
2001-04-30,51.250000,58.729687,50.968750,57.953125,40.772465,35136960
2001-05-01,57.953125,57.953125,57.953125,57.953125,40.772465,0
2001-05-02,60.578125,64.216408,60.000000,61.644531,43.369530,42003456
2001-05-03,60.953125,61.404686,59.001560,59.414845,41.800846,31680704
2001-05-04,59.101563,60.265625,57.367188,59.714062,42.011364,31076864
2001-05-07,60.156250,62.889061,60.156250,62.399220,43.900486,30507648
2001-05-08,62.109375,63.078125,61.109375,62.010937,43.627308,23583936
2001-05-09,62.535156,64.015625,59.843750,60.360157,42.465904,37691648
2001-05-10,60.039063,61.639061,58.593750,60.303123,42.425785,33075968
2001-05-11,59.531250,61.156250,59.078125,60.755466,42.744038,24473280
2001-05-14,60.548435,62.183594,59.470310,60.604687,42.637951,22221056
2001-05-15,60.562500,61.406250,56.353127,60.976563,42.899574,29911936
2001-05-16,61.546875,62.312500,58.984375,59.732811,42.024540,26481280
2001-05-17,59.375000,61.562500,59.375000,60.936718,42.871548,28624640
2001-05-18,61.546875,62.609375,61.129688,61.696095,43.405804,34144768
2001-05-21,62.031250,62.484375,61.484375,61.770313,43.458019,19321984
2001-05-22,61.703125,62.828125,61.703125,62.084373,43.678974,23764224
2001-05-23,62.015625,66.328125,61.814060,65.974998,46.416187,55238144
2001-05-24,65.626564,66.640625,64.859375,65.010941,45.737942,37843072
2001-05-25,65.159378,66.000000,64.625000,65.239059,45.898438,26164032
2001-05-28,65.388283,67.621872,64.843750,66.937500,47.093349,30142272
2001-05-29,67.171875,67.500000,65.970314,66.350784,46.680576,18814912
2001-05-30,65.312500,66.196877,61.042969,61.382813,43.185387,40161728
2001-05-31,58.593750,60.000000,57.812500,58.942188,41.468311,33537984
2001-06-01,59.140625,59.843750,58.367188,58.690624,41.291332,28304768
2001-06-04,59.062500,59.217968,56.250782,56.528908,39.770466,29582400
2001-06-05,56.250000,60.062500,55.939060,59.255466,41.688725,48417472
2001-06-06,62.421875,62.421875,59.064060,59.464062,41.835476,27025280
2001-06-07,59.062500,60.921875,57.828125,60.425781,42.512081,36873792
2001-06-08,60.921875,61.937500,60.179688,61.604687,43.341484,36826752
2001-06-11,61.218750,61.250000,59.160938,59.498436,41.859661,27544128
2001-06-12,59.234375,60.093750,58.593750,59.923435,42.158669,26409152
2001-06-13,60.156250,60.875000,59.259377,59.950783,42.177906,30776768
2001-06-14,59.557030,59.828125,58.379688,59.385937,41.780510,28833856
2001-06-15,59.078125,59.078125,52.671875,53.197655,37.426785,66734656
2001-06-18,52.812500,53.671875,49.036716,52.085155,36.644108,50334208
2001-06-19,53.125000,54.500000,51.890625,54.123436,38.078121,44176448
2001-06-20,53.906250,53.906250,51.642967,52.559376,36.977722,41332864
2001-06-21,52.734375,53.984375,52.346092,53.222656,37.444378,32749120
2001-06-22,53.375000,53.875000,52.515625,53.629688,37.730751,28011200
2001-06-25,53.296875,53.296875,50.968750,52.081249,36.641354,53216832
2001-06-26,51.718750,57.910938,51.343750,56.089844,39.461578,57623680
